rule_id,severity,service,resource_type,resource,title,description,remediation,compliance_framework,compliance_control,compliance_status,evidence,detected_at,run_id,status,fingerprint
IAM-004,CRITICAL,IAM,iam-policy,user:lab-admin-console-nomfa/lab-full-admin,IAM policy grants unrestricted actions on all resources,"The inline policy 'lab-full-admin' attached to user 'lab-admin-console-nomfa' contains an Allow statement for Action ""*"" on all resources. The statement grants every action against every resource in the account. This reports the shape of the policy document; it does not evaluate service control policies, permissions boundaries, or session policies that may constrain the principal in practice.","Replace the wildcard statement with the specific actions the workload calls, scoped to specific resource ARNs. Derive the action list from CloudTrail or IAM Access Analyzer policy generation rather than guessing.",CIS Amazon Web Services Foundations Benchmark v3.0.0,1.16,mapped,"{""policy_arn"": null, ""policy_is_aws_managed"": false, ""policy_name"": ""lab-full-admin"", ""policy_type"": ""inline"", ""principal_arn"": ""arn:aws:iam::123456789012:user/lab-admin-console-nomfa"", ""principal_name"": ""lab-admin-console-nomfa"", ""principal_type"": ""user"", ""statements"": [{""actions"": [""*""], ""condition_keys"": [], ""has_condition"": false, ""resource_scope"": ""*"", ""sid"": ""FullAdmin""}]}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,7d8ca8e7369d83cd
S3-002,CRITICAL,S3,s3-bucket,lab-public-assets,Bucket ACL grants public access,"The ACL on bucket 'lab-public-assets' grants READ to the global group(s) AllUsers. IgnorePublicAcls is not enabled, so the grants are effective.","Remove the global-group grants from the bucket ACL, then enable Block Public Access so the grant cannot be reintroduced.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""bucket"": ""lab-public-assets"", ""grants"": [{""display_name"": null, ""group"": ""AllUsers"", ""permission"": ""READ"", ""type"": ""Group"", ""uri"": ""http://acs.amazonaws.com/groups/global/AllUsers""}], ""groups"": [""AllUsers""], ""ignore_public_acls"": false, ""public_access_block_known"": true}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,c4844278b89f1324
S3-003,CRITICAL,S3,s3-bucket,lab-public-assets,Bucket policy grants access to a public principal,The bucket policy on 'lab-public-assets' contains an Allow statement with an anonymous principal. The statements grant access to anonymous callers without any condition.,"Scope the Principal to specific account or role ARNs. If the bucket must serve public content, front it with CloudFront and an origin access control rather than a public bucket policy.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""block_public_policy"": false, ""bucket"": ""lab-public-assets"", ""get_bucket_policy_status_is_public"": null, ""public_access_block_known"": true, ""restrict_public_buckets"": false, ""statements"": [{""actions"": [""s3:GetObject""], ""condition_keys"": [], ""constraining_condition_keys"": [], ""has_condition"": false, ""is_effectively_constrained"": false, ""principal_form"": ""*"", ""resources"": [""arn:aws:s3:::lab-public-assets/*""], ""sid"": ""PublicRead""}]}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,8e70dcd0e08297b6
S3-003,CRITICAL,S3,s3-bucket,lab-tls-only-public,Bucket policy grants access to a public principal,"The bucket policy on 'lab-tls-only-public' contains an Allow statement with an anonymous principal. The statements grant access to anonymous callers with conditions that do not restrict who may call (for example aws:SecureTransport, which only requires HTTPS).","Scope the Principal to specific account or role ARNs. If the bucket must serve public content, front it with CloudFront and an origin access control rather than a public bucket policy.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""block_public_policy"": false, ""bucket"": ""lab-tls-only-public"", ""get_bucket_policy_status_is_public"": null, ""public_access_block_known"": true, ""restrict_public_buckets"": false, ""statements"": [{""actions"": [""s3:GetObject""], ""condition_keys"": [""aws:securetransport""], ""constraining_condition_keys"": [], ""has_condition"": true, ""is_effectively_constrained"": false, ""principal_form"": ""*"", ""resources"": [""arn:aws:s3:::lab-tls-only-public/*""], ""sid"": ""PublicReadOverTls""}]}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,5c47a2ad9fe73350
CT-004,HIGH,CloudTrail,cloudtrail-trail,lab-single-region-trail,CloudTrail trail exists but is not currently logging,Trail 'lab-single-region-trail' is configured but GetTrailStatus reports that logging is stopped. It appears correctly configured in any configuration-only review while recording nothing.,"Start logging on the trail and investigate why it stopped. For delivery errors, check the destination bucket policy, the bucket's existence, and the KMS key policy if the trail is encrypted.",CIS Amazon Web Services Foundations Benchmark v3.0.0,3.1,mapped,"{""is_logging"": false, ""latest_delivery_time"": null, ""trail"": ""lab-single-region-trail"", ""trail_arn"": ""arn:aws:cloudtrail:us-east-1:123456789012:trail/lab-single-region-trail""}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,99e371dfb171b360
IAM-001,HIGH,IAM,iam-user,user:lab-admin-console-nomfa,Console-enabled IAM user lacks MFA,"IAM user 'lab-admin-console-nomfa' has a console login profile but no MFA device is registered, so interactive sign-in is protected by a password alone.","Register a virtual or hardware MFA device for the user, or delete the login profile if the identity only needs programmatic access.",CIS Amazon Web Services Foundations Benchmark v3.0.0,1.10,mapped,"{""console_access_enabled"": true, ""mfa_device_count"": 0, ""password_last_used"": null, ""user_arn"": ""arn:aws:iam::123456789012:user/lab-admin-console-nomfa"", ""username"": ""lab-admin-console-nomfa""}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,300eb2fbeb928721
IAM-002,HIGH,IAM,iam-access-key,user:lab-svc-stale-keys/AKIA…UDGX,Active IAM access key exceeds maximum age,"Access key AKIA…UDGX for user 'lab-svc-stale-keys' is 400 days old, above the configured rotation threshold of 90 days and above the escalation threshold of 180 days. Key age is credential metadata; it does not by itself indicate that the key has been used or compromised.","Create a replacement key, migrate dependent workloads, then deactivate and delete the superseded key. Prefer IAM roles or IAM Identity Center over long-lived user keys where the workload allows it.",CIS Amazon Web Services Foundations Benchmark v3.0.0,1.14,mapped,"{""access_key_id"": ""AKIA\u2026UDGX"", ""age_days"": 400, ""created"": ""2025-08-20T01:52:15+00:00"", ""escalation_threshold_days"": 180, ""last_used_date"": null, ""last_used_days_ago"": null, ""last_used_service"": null, ""status"": ""Active"", ""threshold_days"": 90, ""username"": ""lab-svc-stale-keys""}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,4efc51356b43a254
IAM-005,HIGH,IAM,iam-policy,group:lab-developers/lab-broad-service-access,IAM policy grants service-wide permissions on all resources,"The managed policy 'lab-broad-service-access' attached to group 'lab-developers' allows service-wide wildcard actions (ec2:*, s3:*) on all resources. Whether that is excessive depends on the workload; the scanner reports the policy shape, not an effective-permissions verdict.","Enumerate the actions the workload calls and replace the wildcard, scoping Resource to specific ARNs where the service supports it.",CIS Amazon Web Services Foundations Benchmark v3.0.0,1.16,partial,"{""member_usernames"": [""lab-svc-rotating"", ""lab-clean-user""], ""policy_arn"": ""arn:aws:iam::123456789012:policy/lab-broad-service-access"", ""policy_is_aws_managed"": false, ""policy_name"": ""lab-broad-service-access"", ""policy_type"": ""managed"", ""principal_arn"": ""arn:aws:iam::123456789012:group/lab-developers"", ""principal_name"": ""lab-developers"", ""principal_type"": ""group"", ""statements"": [{""actions"": [""ec2:*"", ""s3:*""], ""condition_keys"": [], ""has_condition"": false, ""resource_scope"": ""*"", ""sid"": ""BroadServiceAccess""}]}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,62b4e54471b48b7b
IAM-005,HIGH,IAM,iam-policy,role:lab-ci-deploy-role/lab-iam-wildcard,IAM policy grants service-wide permissions on all resources,"The inline policy 'lab-iam-wildcard' attached to role 'lab-ci-deploy-role' allows service-wide wildcard actions (iam:*) on all resources. Whether that is excessive depends on the workload; the scanner reports the policy shape, not an effective-permissions verdict.","Enumerate the actions the workload calls and replace the wildcard, scoping Resource to specific ARNs where the service supports it.",CIS Amazon Web Services Foundations Benchmark v3.0.0,1.16,partial,"{""policy_arn"": null, ""policy_is_aws_managed"": false, ""policy_name"": ""lab-iam-wildcard"", ""policy_type"": ""inline"", ""principal_arn"": ""arn:aws:iam::123456789012:role/lab-ci-deploy-role"", ""principal_name"": ""lab-ci-deploy-role"", ""principal_type"": ""role"", ""role_path"": ""/"", ""statements"": [{""actions"": [""iam:*""], ""condition_keys"": [], ""has_condition"": false, ""resource_scope"": ""*"", ""sid"": ""IamWide""}]}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,663a9b9774171d0d
CT-002,MEDIUM,CloudTrail,aws-account,aws-account,No multi-region CloudTrail trail configured,"All 1 configured trail(s) are single-region, so activity in any other region is not captured. Regions an organisation does not use are exactly where unmonitored activity tends to occur.","Convert an existing trail to multi-region (IsMultiRegionTrail with IncludeGlobalServiceEvents), or create a dedicated multi-region trail.",CIS Amazon Web Services Foundations Benchmark v3.0.0,3.1,mapped,"{""region"": ""us-east-1"", ""trail_count"": 1, ""trails"": [{""home_region"": ""us-east-1"", ""is_multi_region"": false, ""name"": ""lab-single-region-trail""}]}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,2dffc6e1596972e2
